eta,logging_reward,"ours, gaussian","ours, mixed-logit","london, gaussian","london, mixed-logit","sakhi1, gaussian","sakhi1, mixed-logit","sakhi2, gaussian","sakhi2, mixed-logit"
0.0,0.10000000149011612,0.40582404766082764,0.30401176953315734,0.14937759528160094,0.10942761424779891,0.6834231916427612,0.5687776280403137,0.6170005508422851,0.46071393337249755
0.11,0.22555841488838196,0.7974009778022766,0.7586897311210632,0.40664047989845276,0.26671719455718995,0.6970360366821289,0.6345921203613282,0.7053759197235108,0.6219463472366333
0.22,0.3974212198734283,0.8395170890808106,0.8263850246429444,0.5898579580307007,0.4446976243495941,0.7149959536552429,0.6485962495803833,0.7445828266143799,0.6725288945198059
0.33,0.5548240213394166,0.8477124612808228,0.8429612140655518,0.7068664207458496,0.5843163374900818,0.7505565447807312,0.6739026845932007,0.7739676558494568,0.7051024898529052
0.44,0.666991138458252,0.8523146350860595,0.8520589931488037,0.7757906108856201,0.6819756467819214,0.7927549797058105,0.7183731475830079,0.8048166677474976,0.7394091673851013
0.56,0.7445381536483765,0.8551693920135498,0.8595879577636719,0.8193271736145019,0.752191271018982,0.8264567216873169,0.7666930030822754,0.8326566014289856,0.7769870788574219
0.67,0.7888142121315003,0.8608933006286621,0.8653820158958435,0.8424285670280457,0.7930580090522766,0.8470473280906677,0.8005147261619567,0.8509344900131226,0.8063052997589112
0.78,0.8176281276702881,0.8676445030212402,0.8699798707008362,0.8579332065582276,0.8202104465484619,0.8608143108367919,0.8250253841400147,0.863166813659668,0.8282834041595459
0.89,0.8369907068252563,0.8741798507690429,0.8733710843086243,0.8674940503120422,0.8388471494674683,0.8699778074264526,0.8421837370872498,0.8717396894454956,0.8442958898544312
1.0,0.8504456758499146,0.8793904998779297,0.8771719786643982,0.8743605264663696,0.8517780799865723,0.87671082239151,0.8543023984909057,0.8780557220458984,0.856239606666565
